Date,Open,High,Low,Close,Adj Close,Volume
1/31/1967,119.89,119.89,119.89,119.89,,
2/28/1967,119.81,119.81,119.81,119.81,,
3/31/1967,119.79,119.79,119.79,119.79,,
4/28/1967,119.72,119.72,119.72,119.72,,
5/31/1967,119.64,119.64,119.64,119.64,,
6/30/1967,119.63,119.63,119.63,119.63,,
7/31/1967,119.7,119.7,119.7,119.7,,
8/31/1967,119.75,119.75,119.75,119.75,,
9/29/1967,119.74,119.74,119.74,119.74,,
10/31/1967,119.73,119.73,119.73,119.73,,
11/30/1967,120.27,120.27,120.27,120.27,,
12/29/1967,121.79,121.79,121.79,121.79,,
1/31/1968,122.07,122.07,122.07,122.07,,
2/29/1968,122.08,122.08,122.08,122.08,,
3/29/1968,122,122,122,122,,
4/30/1968,122.01,122.01,122.01,122.01,,
5/31/1968,122.04,122.04,122.04,122.04,,
6/28/1968,122.22,122.22,122.22,122.22,,
7/30/1968,122.18,122.18,122.18,122.18,,
8/30/1968,122.18,122.18,122.18,122.18,,
9/30/1968,121.98,121.98,121.98,121.98,,
10/31/1968,122.03,122.03,122.03,122.03,,
11/29/1968,121.95,121.95,121.95,121.95,,
12/31/1968,121.96,121.96,121.96,121.96,,
1/31/1969,122.08,122.08,122.08,122.08,,
2/28/1969,122.19,122.19,122.19,122.19,,
3/28/1969,122.29,122.29,122.29,122.29,,
4/30/1969,122.26,122.26,122.26,122.26,,
5/29/1969,122.24,122.24,122.24,122.24,,
6/30/1969,122.34,122.34,122.34,122.34,,
7/31/1969,122.36,122.36,122.36,122.36,,
8/29/1969,123.46,123.46,123.46,123.46,,
9/30/1969,123.82,123.82,123.82,123.82,,
10/31/1969,122.18,122.18,122.18,122.18,,
11/28/1969,121.77,121.77,121.77,121.77,,
12/31/1969,121.74,121.74,121.74,121.74,,
1/30/1970,121.75,121.75,121.75,121.75,,
2/27/1970,121.72,121.72,121.72,121.72,,
3/31/1970,121.6,121.6,121.6,121.6,,
4/30/1970,121.36,121.36,121.36,121.36,,
5/29/1970,121.32,121.32,121.32,121.32,,
6/30/1970,120.98,120.98,120.98,120.98,,
7/31/1970,120.9,120.9,120.9,120.9,,
8/31/1970,120.7,120.7,120.7,120.7,,
9/30/1970,120.62,120.62,120.62,120.62,,
10/30/1970,120.64,120.64,120.64,120.64,,
11/30/1970,120.55,120.55,120.55,120.55,,
12/31/1970,120.64,120.64,120.64,120.64,,
1/4/1971,120.529999,120.529999,120.529999,120.529999,120.529999,0
1/5/1971,120.519997,120.519997,120.519997,120.519997,120.519997,0
1/6/1971,120.489998,120.489998,120.489998,120.489998,120.489998,0
1/7/1971,120.550003,120.550003,120.550003,120.550003,120.550003,0
1/8/1971,120.529999,120.529999,120.529999,120.529999,120.529999,0
